episode,train_steps,train_reward,train_loss,eps,train_avg_delay_ms,train_loss_rate,train_throughput,eval_reward,eval_avg_delay_ms,eval_loss_rate,eval_throughput
1,936,-110.34,0.028311,0.9744,21.0465,0.3678,0.43,,,,
2,945,-114.28,0.047372,0.9445,25.0,0.3738,0.45,,,,
3,958,-105.68,0.044043,0.9141,24.7802,0.3638,0.455,,,,
4,901,-101.44,0.045549,0.8856,22.5789,0.3651,0.475,,,,
5,969,-45.98,0.044879,0.8549,25.2101,0.3206,0.595,,,,
6,1005,-27.6,0.048093,0.8231,31.7557,0.3147,0.655,,,,
7,941,-42.28,0.048332,0.7933,24.6774,0.3235,0.62,,,,
8,918,24.22,0.05306,0.7642,23.5443,0.2744,0.79,,,,
9,929,18.74,0.054506,0.7348,25.906,0.2746,0.745,,,,
10,951,-24.52,0.055932,0.7047,26.2121,0.3089,0.66,,,,
11,905,64.52,0.056408,0.676,23.9385,0.2441,0.895,,,,
12,881,65.9,0.057927,0.6481,23.2768,0.2363,0.885,,,,
13,898,59.72,0.059648,0.6197,26.264,0.2535,0.89,,,,
14,881,79.0,0.060279,0.5918,23.7634,0.2313,0.93,,,,
15,855,67.44,0.061659,0.5647,23.0899,0.2363,0.89,,,,
16,874,133.22,0.068457,0.537,21.6744,0.1795,1.075,,,,
17,846,137.82,0.06309,0.5102,21.445,0.1774,1.09,,,,
18,831,130.12,0.06949,0.4839,22.6168,0.1858,1.07,,,,
19,869,120.22,0.067716,0.4564,24.0777,0.1904,1.03,,,,
20,813,166.28,0.070865,0.4307,20.3965,0.1351,1.135,,,,
21,791,160.96,0.069793,0.4056,21.3261,0.1557,1.15,,,,
22,805,201.5,0.075991,0.3801,21.1992,0.096,1.23,,,,
23,755,209.6,0.072147,0.3562,19.3254,0.0935,1.26,,,,
24,789,220.96,0.077871,0.3312,20.1351,0.0805,1.295,,,,
25,807,220.48,0.080358,0.3057,20.9375,0.0754,1.28,,,,
26,702,210.7,0.081173,0.2834,17.747,0.096,1.265,,,,
27,731,242.16,0.08484,0.2603,18.4074,0.056,1.35,,,,
28,748,244.8,0.083213,0.2366,19.2066,0.0504,1.355,,,,
29,729,229.14,0.081211,0.2135,17.8053,0.0698,1.31,,,,
30,670,252.52,0.081109,0.1923,16.9424,0.0533,1.39,,,,
31,647,252.86,0.082414,0.1718,16.4,0.0448,1.375,,,,
32,669,251.4,0.082848,0.1506,17.6825,0.0448,1.37,,,,
33,705,258.72,0.090144,0.1283,17.1326,0.0361,1.395,,,,
34,575,265.44,0.078343,0.1101,14.6831,0.039,1.42,,,,
35,597,284.02,0.081912,0.0912,14.5408,0.0123,1.47,,,,
36,585,284.26,0.079253,0.0727,14.2177,0.0123,1.47,,,,
37,580,283.3,0.082047,0.0543,13.9726,0.0093,1.46,,,,
38,556,286.84,0.092877,0.05,13.9322,0.0093,1.475,,,,
39,579,291.36,0.075602,0.05,14.4444,0.0,1.485,,,,
40,555,287.84,0.090377,0.05,14.2373,0.0062,1.475,,,,
41,542,292.1,0.094577,0.05,13.6364,0.0,1.485,,,,
42,552,287.9,0.084351,0.05,13.0678,0.0062,1.475,,,,
43,548,286.92,0.085214,0.05,13.8567,0.0031,1.465,,,,
44,546,288.02,0.09177,0.05,14.0339,0.0062,1.475,,,,
45,534,290.26,0.084078,0.05,13.6824,0.0031,1.48,,,,
46,537,291.22,0.088309,0.05,13.367,0.0031,1.485,,,,
47,552,285.86,0.08311,0.05,14.5222,0.0062,1.465,,,,
48,535,289.22,0.086259,0.05,13.2203,0.0031,1.475,,,,
49,540,293.16,0.080048,0.05,12.9027,0.0,1.49,,,,
50,531,288.28,0.089463,0.05,12.6361,0.0031,1.47,,,,
51,550,286.92,0.083931,0.05,14.0306,0.0062,1.47,,,,
52,542,294.14,0.089583,0.05,12.592,0.0,1.495,,,,
53,529,288.36,0.087613,0.05,13.339,0.0062,1.475,,,,
54,537,290.24,0.090061,0.05,13.8721,0.0062,1.485,,,,
55,534,287.28,0.087709,0.05,13.5254,0.0093,1.475,,,,
56,530,292.38,0.092799,0.05,13.8087,0.0031,1.49,,,,
57,536,279.08,0.093421,0.05,13.5017,0.0093,1.435,,,,
58,520,295.6,0.097931,0.05,12.4333,0.0,1.5,,,,
59,524,291.52,0.096752,0.05,12.4664,0.0062,1.49,,,,
60,530,283.28,0.091857,0.05,13.11,0.0093,1.455,,,,
61,549,288.94,0.089351,0.05,13.8983,0.0031,1.475,,,,
62,545,282.98,0.090902,0.05,14.0722,0.0093,1.455,,,,
63,533,289.22,0.088917,0.05,13.4014,0.0,1.47,,,,
64,526,294.46,0.107118,0.05,12.3244,0.0,1.495,,,,
65,528,289.36,0.091624,0.05,13.8305,0.0031,1.475,,,,
66,548,285.94,0.099524,0.05,14.727,0.0062,1.465,,,,
67,543,291.1,0.094644,0.05,14.0741,0.0031,1.485,,,,
68,525,287.42,0.093079,0.05,13.0612,0.0062,1.47,,,,
69,522,288.5,0.092251,0.05,13.661,0.0062,1.475,,,,
70,535,289.18,0.090728,0.05,13.7925,0.0,1.47,,,,
71,540,288.14,0.083707,0.05,14.1864,0.0062,1.475,,,,
72,512,292.7,0.096666,0.05,12.8451,0.0,1.485,,,,
73,541,287.14,0.098715,0.05,13.5254,0.0093,1.475,,,,
74,540,295.2,0.099849,0.05,13.2167,0.0,1.5,,,,
75,528,292.38,0.091689,0.05,13.1987,0.0,1.485,,,,
76,523,286.48,0.100714,0.05,12.8061,0.0093,1.47,,,,
77,534,285.24,0.088761,0.05,13.6689,0.0093,1.465,,,,
78,525,292.44,0.101121,0.05,12.6431,0.0,1.485,,,,
79,539,289.18,0.104565,0.05,13.8176,0.0062,1.48,,,,
80,520,295.6,0.102332,0.05,12.7,0.0,1.5,,,,
81,533,287.22,0.102582,0.05,13.9932,0.0031,1.465,,,,
82,531,291.3,0.096418,0.05,13.2601,0.0,1.48,,,,
83,530,285.36,0.109135,0.05,14.3367,0.0123,1.47,,,,
84,529,287.34,0.102406,0.05,13.7075,0.0062,1.47,,,,
85,542,289.08,0.107247,0.05,14.3559,0.0031,1.475,,,,
86,524,289.44,0.101974,0.05,13.5932,0.0031,1.475,,,,
87,536,281.2,0.09739,0.05,13.9691,0.0154,1.455,,,,
88,537,292.24,0.107602,0.05,13.7752,0.0031,1.49,,,,
89,541,291.1,0.10027,0.05,13.6318,0.0,1.48,,,,
90,543,280.0,0.10842,0.05,15.1211,0.0123,1.445,,,,
91,527,288.36,0.097532,0.05,13.5884,0.0031,1.47,,,,
92,536,286.22,0.112201,0.05,13.8605,0.0093,1.47,,,,
93,525,290.44,0.095955,0.05,12.6689,0.0031,1.48,,,,
94,519,284.56,0.106997,0.05,12.9181,0.0123,1.465,,,,
95,529,285.34,0.102956,0.05,13.2082,0.0093,1.465,,,,
96,535,288.16,0.103165,0.05,13.7031,0.0,1.465,,,,
97,524,292.5,0.102279,0.05,13.2383,0.0031,1.49,,,,
98,521,293.58,0.106286,0.05,13.0936,0.0031,1.495,,,,
99,535,287.22,0.107134,0.05,13.5374,0.0062,1.47,,,,
100,524,290.46,0.105811,0.05,13.125,0.0031,1.48,,,,
101,553,281.8,0.096592,0.05,15.2931,0.0093,1.45,,,,
102,538,292.18,0.098997,0.05,13.3838,0.0,1.485,,,,
103,545,288.0,0.107931,0.05,14.4728,0.0031,1.47,,,,
104,544,290.06,0.101707,0.05,13.75,0.0031,1.48,,,,
105,548,290.96,0.110479,0.05,14.3581,0.0,1.48,,,,
106,537,289.18,0.10021,0.05,14.2373,0.0031,1.475,,,,
107,528,291.4,0.114954,0.05,12.9125,0.0031,1.485,,,,
108,518,292.58,0.112848,0.05,12.9798,0.0,1.485,,,,
109,515,292.64,0.111633,0.05,13.1145,0.0,1.485,,,,
110,525,294.48,0.108332,0.05,12.291,0.0,1.495,,,,
111,526,294.46,0.099753,0.05,12.3579,0.0,1.495,,,,
112,540,288.1,0.098612,0.05,13.8946,0.0031,1.47,,,,
113,530,287.32,0.108097,0.05,13.6735,0.0062,1.47,,,,
114,517,288.64,0.094485,0.05,13.598,0.0093,1.48,,,,
115,516,291.64,0.10308,0.05,13.1145,0.0031,1.485,,,,
116,537,289.18,0.114796,0.05,14.2034,0.0031,1.475,,,,
117,521,280.48,0.102102,0.05,13.1724,0.0154,1.45,,,,
118,525,289.46,0.097786,0.05,12.9223,0.0062,1.48,,,,
119,511,294.76,0.098129,0.05,13.2107,0.0,1.495,,,,
120,542,285.08,0.103657,0.05,14.1638,0.0093,1.465,,,,
121,523,283.42,0.106974,0.05,13.7629,0.0093,1.455,,,,
122,523,288.44,0.104498,0.05,13.0612,0.0031,1.47,,,,
123,526,289.4,0.124903,0.05,12.7966,0.0031,1.475,,,,
124,521,294.56,0.11797,0.05,12.2575,0.0,1.495,,,,
125,520,292.58,0.112604,0.05,13.2886,0.0031,1.49,,,,
126,519,286.56,0.109571,0.05,12.8912,0.0093,1.47,,,,
127,545,286.08,0.105931,0.05,14.2203,0.0123,1.475,,,,
128,533,282.24,0.080749,0.05,14.3299,0.0123,1.455,,,,
129,523,289.46,0.10941,0.05,13.2542,0.0031,1.475,,,,
130,506,294.9,0.106329,0.05,12.1333,0.0031,1.5,,,,
131,517,292.64,0.093391,0.05,12.5671,0.0031,1.49,,,,
132,512,289.72,0.127016,0.05,12.5845,0.0062,1.48,,,,
133,529,293.38,0.118859,0.05,12.8188,0.0,1.49,,,,
134,521,294.56,0.115085,0.05,12.2742,0.0,1.495,,,,
135,528,293.4,0.121748,0.05,13.7081,0.0,1.49,,,,
136,519,289.58,0.094737,0.05,13.2601,0.0062,1.48,,,,
137,519,290.56,0.10214,0.05,11.6723,0.0031,1.48,,,,
138,528,293.44,0.107623,0.05,12.4247,0.0031,1.495,,,,
139,524,289.48,0.110407,0.05,12.3818,0.0062,1.48,,,,
140,546,280.96,0.112457,0.05,14.569,0.0123,1.45,,,,
141,511,291.7,0.105847,0.05,12.5,0.0,1.48,,,,
142,521,287.5,0.111832,0.05,13.4524,0.0062,1.47,,,,
143,530,284.26,0.107982,0.05,14.0722,0.0062,1.455,,,,
144,526,289.4,0.109119,0.05,13.3729,0.0031,1.475,,,,
145,514,290.7,0.11695,0.05,13.0808,0.0062,1.485,,,,
146,510,285.72,0.103046,0.05,13.0717,0.0093,1.465,,,,
147,520,288.54,0.103667,0.05,12.8475,0.0062,1.475,,,,
148,535,291.3,0.10618,0.05,12.3322,0.0062,1.49,,,,
149,537,285.18,0.102685,0.05,14.5563,0.0093,1.465,,,,
150,523,284.48,0.119291,0.05,12.9352,0.0123,1.465,,,,
151,518,290.58,0.102546,0.05,12.348,0.0031,1.48,,,,
152,508,287.8,0.103392,0.05,12.8305,0.0093,1.475,,,,
153,516,289.64,0.120557,0.05,12.6689,0.0062,1.48,,,,
154,518,290.62,0.111833,0.05,13.2323,0.0062,1.485,,,,
155,530,290.3,0.115907,0.05,13.7458,0.0,1.475,,,,
156,517,292.6,0.099547,0.05,12.8788,0.0,1.485,,,,
157,512,291.8,0.111977,0.05,11.6388,0.0093,1.495,,,,
158,526,289.4,0.11958,0.05,12.6271,0.0031,1.475,,,,
159,516,290.66,0.110283,0.05,12.3232,0.0062,1.485,,,,
160,523,293.5,0.120052,0.05,12.651,0.0,1.49,,,,
161,532,288.26,0.107993,0.05,13.9456,0.0031,1.47,,,,
162,539,282.08,0.123447,0.05,13.931,0.0093,1.45,,,,
163,521,285.5,0.126522,0.05,12.9522,0.0093,1.465,,,,
164,528,291.36,0.119567,0.05,13.6318,0.0,1.48,,,,
165,531,296.4,0.097808,0.05,12.1429,0.0,1.505,,,,
166,529,296.48,0.114952,0.05,11.6887,0.0031,1.51,,,,
167,520,290.58,0.10895,0.05,12.3232,0.0062,1.485,,,,
168,521,286.44,0.10776,0.05,13.7671,0.0031,1.46,,,,
169,506,288.82,0.105281,0.05,12.8644,0.0062,1.475,,,,
170,514,295.72,0.109932,0.05,11.95,0.0,1.5,,,,
171,524,291.52,0.114985,0.05,11.9631,0.0062,1.49,,,,
172,513,292.72,0.111091,0.05,11.9463,0.0031,1.49,,,,
173,542,289.12,0.106352,0.05,14.4595,0.0062,1.48,,,,
174,531,282.24,0.107436,0.05,13.8793,0.0093,1.45,,,,
175,521,295.58,0.112989,0.05,11.75,0.0,1.5,,,,
176,528,291.4,0.111698,0.05,13.7374,0.0031,1.485,,,,
177,513,288.64,0.116937,0.05,12.8912,0.0031,1.47,,,,
178,526,289.44,0.120874,0.05,14.0709,0.0062,1.48,,,,
179,509,291.78,0.123917,0.05,12.862,0.0031,1.485,,,,
180,524,288.42,0.118989,0.05,13.3844,0.0031,1.47,,,,
181,514,289.68,0.111822,0.05,12.3311,0.0062,1.48,,,,
182,517,286.6,0.111354,0.05,13.0782,0.0093,1.47,,,,
183,508,293.84,0.124598,0.05,11.9398,0.0031,1.495,,,,
184,527,290.4,0.109083,0.05,13.2601,0.0031,1.48,,,,
185,545,289.06,0.095476,0.05,13.4291,0.0062,1.48,,,,
186,538,286.1,0.11186,0.05,13.613,0.0031,1.46,,,,
187,509,294.84,0.113676,0.05,11.9,0.0031,1.5,,,,
188,536,296.3,0.126266,0.05,12.7907,0.0,1.505,,,,
189,527,292.4,0.10495,0.05,13.8047,0.0,1.485,,,,
190,517,292.6,0.108771,0.05,12.6936,0.0,1.485,,,,
191,515,290.68,0.121843,0.05,12.4411,0.0062,1.485,,,,
192,512,295.76,0.135621,0.05,12.1167,0.0,1.5,,,,
193,528,289.4,0.124435,0.05,13.0405,0.0062,1.48,,,,
194,517,287.58,0.1225,0.05,13.4694,0.0062,1.47,,,,
195,527,281.38,0.12398,0.05,13.7113,0.0154,1.455,,,,
196,524,288.46,0.106678,0.05,13.5085,0.0062,1.475,,,,
197,527,292.44,0.112623,0.05,12.6846,0.0031,1.49,,,,
198,539,286.12,0.113576,0.05,15.7167,0.0062,1.465,,,,
199,523,290.52,0.112869,0.05,12.4411,0.0062,1.485,,,,
200,539,288.16,0.116759,0.05,13.3559,0.0062,1.475,299.1,11.0561,0.0,1.515
201,521,295.62,0.12012,0.05,11.711,0.0031,1.505,,,,
202,510,290.78,0.110497,0.05,12.2896,0.0062,1.485,,,,
203,517,288.6,0.099122,0.05,13.661,0.0062,1.475,,,,
204,532,295.36,0.130929,0.05,12.6667,0.0,1.5,,,,
205,539,288.12,0.115163,0.05,14.2857,0.0031,1.47,,,,
206,516,293.64,0.117732,0.05,11.9966,0.0,1.49,,,,
207,519,289.54,0.12123,0.05,13.1525,0.0031,1.475,,,,
208,521,287.5,0.109319,0.05,13.7585,0.0062,1.47,,,,
209,540,289.12,0.114021,0.05,12.6102,0.0031,1.475,,,,
210,534,291.28,0.119136,0.05,13.0135,0.0031,1.485,,,,
211,538,289.2,0.127785,0.05,12.7196,0.0062,1.48,,,,
212,529,295.42,0.126947,0.05,12.0,0.0,1.5,,,,
213,528,285.4,0.140623,0.05,12.9422,0.0123,1.47,,,,
214,531,289.34,0.108087,0.05,13.4628,0.0062,1.48,,,,
215,523,296.56,0.132497,0.05,12.01,0.0,1.505,,,,
216,532,290.3,0.110118,0.05,13.0743,0.0031,1.48,,,,
217,515,287.66,0.129149,0.05,12.7627,0.0093,1.475,,,,
218,518,289.64,0.115661,0.05,12.2054,0.0093,1.485,,,,
219,519,296.64,0.123014,0.05,11.6279,0.0,1.505,,,,
220,519,288.56,0.128633,0.05,12.8475,0.0062,1.475,,,,
221,524,287.48,0.129938,0.05,13.3729,0.0093,1.475,,,,
222,534,289.24,0.107126,0.05,13.2542,0.0031,1.475,,,,
223,560,285.7,0.126225,0.05,14.5392,0.0062,1.465,,,,
224,543,288.04,0.112823,0.05,14.4728,0.0031,1.47,,,,
225,527,292.44,0.1268,0.05,12.9027,0.0031,1.49,,,,
226,528,287.36,0.122981,0.05,13.9796,0.0062,1.47,,,,
227,516,290.62,0.10231,0.05,12.8885,0.0031,1.48,,,,
228,520,288.54,0.121527,0.05,12.8305,0.0062,1.475,,,,
229,530,286.3,0.123107,0.05,14.0956,0.0062,1.465,,,,
230,514,294.74,0.119867,0.05,11.7833,0.0031,1.5,,,,
231,503,291.94,0.126162,0.05,11.4765,0.0062,1.49,,,,
232,533,294.36,0.11248,0.05,12.4333,0.0031,1.5,,,,
233,507,288.8,0.119478,0.05,12.2542,0.0062,1.475,,,,
234,534,287.2,0.117132,0.05,13.0375,0.0031,1.465,,,,
235,535,285.18,0.126724,0.05,14.4863,0.0062,1.46,,,,
236,525,292.44,0.136564,0.05,12.6936,0.0,1.485,,,,
237,536,289.24,0.109629,0.05,13.7331,0.0062,1.48,,,,
238,535,292.28,0.107834,0.05,12.6342,0.0031,1.49,,,,
239,524,297.56,0.125426,0.05,11.4735,0.0,1.51,,,,
240,540,284.06,0.121875,0.05,14.0893,0.0062,1.455,,,,
241,523,292.56,0.133967,0.05,12.0903,0.0062,1.495,,,,
242,507,293.82,0.120695,0.05,12.4832,0.0,1.49,,,,
243,528,296.46,0.10771,0.05,12.3422,0.0,1.505,,,,
244,528,289.36,0.10636,0.05,13.8305,0.0031,1.475,,,,
245,525,288.44,0.130054,0.05,13.7458,0.0062,1.475,,,,
246,522,288.46,0.10501,0.05,12.551,0.0031,1.47,,,,
247,555,280.82,0.110024,0.05,14.3471,0.0154,1.455,,,,
248,530,293.44,0.118936,0.05,11.8833,0.0062,1.5,,,,
249,539,289.18,0.130812,0.05,12.9392,0.0062,1.48,,,,
250,519,296.64,0.137136,0.05,11.9103,0.0,1.505,,,,
251,509,295.82,0.112924,0.05,12.1,0.0,1.5,,,,
252,527,288.36,0.127798,0.05,13.2143,0.0031,1.47,,,,
253,537,289.14,0.116641,0.05,13.7415,0.0,1.47,,,,
254,522,291.48,0.110809,0.05,12.5845,0.0,1.48,,,,
255,514,293.68,0.119501,0.05,12.5671,0.0,1.49,,,,
256,519,294.64,0.132798,0.05,12.1167,0.0031,1.5,,,,
257,527,291.38,0.124691,0.05,13.2939,0.0,1.48,,,,
258,528,285.4,0.110513,0.05,13.6735,0.0123,1.47,,,,
259,522,283.48,0.11269,0.05,13.4075,0.0123,1.46,,,,
260,524,289.44,0.123605,0.05,12.1356,0.0031,1.475,,,,
261,525,286.44,0.120629,0.05,12.8401,0.0093,1.47,,,,
262,532,293.32,0.134194,0.05,12.7852,0.0,1.49,,,,
263,532,291.32,0.127593,0.05,12.7273,0.0031,1.485,,,,
264,510,293.76,0.112973,0.05,12.8188,0.0,1.49,,,,
265,514,292.66,0.122141,0.05,12.7441,0.0,1.485,,,,
