episode,train_steps,train_reward,train_loss,eps,train_avg_delay_ms,train_loss_rate,train_throughput,eval_reward,eval_avg_delay_ms,eval_loss_rate,eval_throughput
1,847,-42.78,0.022838,0.9658,24.8315,0.3287,0.445,,,,
2,901,-10.6,0.042441,0.923,28.3482,0.3036,0.56,,,,
3,876,12.4,0.045577,0.8814,27.3874,0.2623,0.555,,,,
4,893,-12.92,0.043139,0.839,26.9192,0.2934,0.495,,,,
5,877,-3.66,0.046962,0.7973,30.7353,0.2779,0.51,,,,
6,840,35.12,0.048103,0.7574,28.2787,0.2483,0.61,,,,
7,876,39.82,0.055907,0.7158,27.7407,0.2433,0.675,,,,
8,825,50.72,0.059107,0.6766,26.7518,0.2342,0.685,,,,
9,759,93.72,0.066773,0.6406,26.3,0.1661,0.75,,,,
10,822,109.6,0.0634,0.6015,26.9444,0.1444,0.81,,,,
11,755,110.28,0.063935,0.5657,21.9412,0.1628,0.85,,,,
12,820,77.64,0.069574,0.5267,24.726,0.1952,0.73,,,,
13,723,140.72,0.073265,0.4924,23.1944,0.1082,0.9,,,,
14,702,147.3,0.073378,0.459,22.6471,0.1095,0.935,,,,
15,709,174.26,0.074882,0.4253,20.8128,0.0704,1.015,,,,
16,635,157.5,0.079836,0.3952,19.7074,0.0833,0.94,,,,
17,659,178.08,0.080559,0.3639,20.15,0.0524,1.0,,,,
18,651,180.4,0.078777,0.333,19.6585,0.0611,1.025,,,,
19,591,181.6,0.083516,0.3049,17.9512,0.0615,1.025,,,,
20,640,193.68,0.086282,0.2745,18.7324,0.043,1.065,215.77,15.0792,0.0096,1.119
21,620,208.4,0.075863,0.245,17.5219,0.0443,1.14,,,,
22,557,203.3,0.087592,0.2186,15.9028,0.0242,1.08,,,,
23,516,192.04,0.08467,0.1941,14.7596,0.0391,1.04,,,,
24,446,202.42,0.091183,0.1729,14.1038,0.0207,1.06,,,,
25,481,213.96,0.087977,0.15,14.0402,0.02,1.12,,,,
26,431,201.74,0.083364,0.1296,13.75,0.0252,1.06,,,,
27,451,216.48,0.085662,0.1081,13.4978,0.0082,1.115,,,,
28,393,210.42,0.089122,0.0895,12.8037,0.0,1.07,,,,
29,430,232.12,0.087328,0.069,12.3941,0.0,1.18,,,,
30,407,221.44,0.092987,0.05,12.4449,0.0084,1.135,,,,
31,416,223.22,0.08216,0.05,12.4449,0.0,1.135,,,,
32,390,219.66,0.088154,0.05,11.7489,0.0,1.115,,,,
33,397,221.56,0.089601,0.05,12.3556,0.0,1.125,,,,
34,408,228.52,0.08898,0.05,11.9528,0.004,1.165,,,,
35,380,211.74,0.076901,0.05,11.2731,0.0043,1.08,,,,
36,402,229.62,0.085576,0.05,11.6738,0.0,1.165,,,,
37,409,228.5,0.093416,0.05,11.9313,0.004,1.165,,,,
38,398,225.66,0.098842,0.05,11.9348,0.004,1.15,,,,
39,396,214.52,0.087785,0.05,11.8864,0.0083,1.1,,,,
40,387,205.48,0.093666,0.05,12.7619,0.0044,1.05,227.552,11.7514,0.0,1.1535
